respondent_id,eligible_ai20k_outside_team,active_last_14_days,last_lesson,prep_actions,unknown_before_lesson,gap_frequency_14d,concept_group,discovery_point,response_actions,first_source,source_helpfulness,time_lost_band,learning_impact,desired_prep_info,search_difficulty,willing_to_test,verbatim_quote,consent_for_research,source_record
R11,yes,yes,Lesson 6,Xem mục tiêu,Kiến thức nào cần biết trước,Có 2–3 lần,Không xác định được,Xuất hiện nhiều đoạn,Hỏi AI,Không tìm,"Có, tìm được ngay",Không mất thêm,Tạm dừng và quay lại sau,Link đúng lesson/slide/timestamp cần xem,Thường tìm được ngay,yes,,not_collected,https://docs.google.com/forms/d/1uGjLc-j0WnvmgyZBsI2sv1zNqw1qnjkwrERizRrYTLg/edit#responses
R12,yes,yes,Lesson 3,Xem lướt slide/transcript,Đã biết rõ tất cả,Có 1 lần,AI/ML,Khoảng giữa,Tiếp tục chờ bài giải thích,Tài liệu giảng viên,"Có, tìm được ngay",Dưới 5 phút,Gần như không ảnh hưởng,Kết quả cần đạt|Link đúng lesson/slide/timestamp cần xem,Quá nhiều nguồn,yes,,not_collected,https://docs.google.com/forms/d/1uGjLc-j0WnvmgyZBsI2sv1zNqw1qnjkwrERizRrYTLg/edit#responses
R13,yes,yes,Lesson 6,Đọc tên/mô tả|Ôn lesson trước,Kiến thức nào cần biết trước,Có 2–3 lần,Toán/thống kê|Không xác định được,Không nhớ,Hỏi AI,Không tìm,Tôi không tìm,Dưới 5 phút,Học tiếp nhưng phần sau khó hiểu hơn,Kết quả cần đạt|Link đúng lesson/slide/timestamp cần xem,Biết lesson nhưng không biết timestamp/slide,no,,not_collected,https://docs.google.com/forms/d/1uGjLc-j0WnvmgyZBsI2sv1zNqw1qnjkwrERizRrYTLg/edit#responses
R14,yes,yes,Không nhớ,Xem lướt slide/transcript,Kiến thức nào cần biết trước,Có 1 lần,Quy trình/phương pháp,Không nhớ,Tìm slide/transcript,Không tìm,Có nhưng phải tìm thêm,Trên 20 phút,Học tiếp nhưng phần sau khó hiểu hơn,Link đúng lesson/slide/timestamp cần xem,Tài liệu quá dài,yes,,not_collected,https://docs.google.com/forms/d/1uGjLc-j0WnvmgyZBsI2sv1zNqw1qnjkwrERizRrYTLg/edit#responses
R15,yes,yes,Lesson 6,Xem lướt slide/transcript,Kiến thức nào cần biết trước,Có từ 4 lần,Thuật ngữ nền tảng,Không nhớ,Hỏi bạn học/giảng viên/TA,Lesson trước,Có nhưng phải tìm thêm,Không mất thêm,Gần như không ảnh hưởng,Kết quả cần đạt,Thường tìm được ngay,maybe,,not_collected,https://docs.google.com/forms/d/1uGjLc-j0WnvmgyZBsI2sv1zNqw1qnjkwrERizRrYTLg/edit#responses
R16,yes,yes,Lesson 4,Đọc tên/mô tả|Xem mục tiêu,Đã biết rõ tất cả,Có 2–3 lần,Không xác định được,Khoảng giữa,Tiếp tục chờ bài giải thích,Google/YouTube,Có nhưng phải tìm thêm,Trên 20 phút,Học tiếp sau khi tra cứu,Kiến thức thực sự cần biết trước|Link đúng lesson/slide/timestamp cần xem|Concept dễ nhầm/phần cần chú ý,Biết lesson nhưng không biết timestamp/slide,yes,,not_collected,https://docs.google.com/forms/d/1uGjLc-j0WnvmgyZBsI2sv1zNqw1qnjkwrERizRrYTLg/edit#responses
R17,yes,yes,Lesson 2,Học ngay|không chuẩn bị|Xem lướt slide/transcript,Nếu thiếu kiến thức thì xem lại ở đâu,Có 2–3 lần,Toán/thống kê,Xuất hiện nhiều đoạn,Tiếp tục chờ bài giải thích|Tua lại|Tìm slide/transcript|Hỏi bạn học/giảng viên/TA,Google/YouTube,"Có, tìm được ngay",Trên 20 phút,Học tiếp nhưng phần sau khó hiểu hơn,Kết quả cần đạt,Thường không tìm,maybe,,not_collected,https://docs.google.com/forms/d/1uGjLc-j0WnvmgyZBsI2sv1zNqw1qnjkwrERizRrYTLg/edit#responses
R18,yes,yes,Lesson 6,Học ngay|không chuẩn bị,Nếu thiếu kiến thức thì xem lại ở đâu,Không có,Thuật ngữ nền tảng,Khoảng giữa,Hỏi AI,Công cụ AI,Có nhưng phải tìm thêm,Trên 20 phút,Học tiếp sau khi tra cứu,Kết quả cần đạt|Phân biệt cần biết trước/biết thì hữu ích/sẽ được dạy,Không biết nằm ở lesson nào,yes,,not_collected,https://docs.google.com/forms/d/1uGjLc-j0WnvmgyZBsI2sv1zNqw1qnjkwrERizRrYTLg/edit#responses
R19,yes,no,Lesson 3,Học ngay|không chuẩn bị,Kiến thức nào cần biết trước,Có 1 lần,Thuật ngữ nền tảng,Không nhớ,Tìm slide/transcript,Lesson trước,Chỉ hiểu một phần,Trên 20 phút,Gần như không ảnh hưởng,Concept dễ nhầm/phần cần chú ý,Thường không tìm,maybe,,not_collected,https://docs.google.com/forms/d/1uGjLc-j0WnvmgyZBsI2sv1zNqw1qnjkwrERizRrYTLg/edit#responses
R20,yes,yes,Lesson khác,Xem mục tiêu,Kiến thức nào cần biết trước,Không có,AI/ML|Quy trình/phương pháp,Đầu lesson,Tiếp tục chờ bài giải thích,Slide,Chỉ hiểu một phần,Không mất thêm,Tạm dừng và quay lại sau,Kết quả cần đạt|Link đúng lesson/slide/timestamp cần xem,Quá nhiều nguồn,yes,,not_collected,https://docs.google.com/forms/d/1uGjLc-j0WnvmgyZBsI2sv1zNqw1qnjkwrERizRrYTLg/edit#responses
R21,yes,yes,Lesson 5,Đọc tên/mô tả,Kiến thức nào cần biết trước|Nếu thiếu kiến thức thì xem lại ở đâu,Không có,AI/ML|Không xác định được,Xuất hiện nhiều đoạn,Tìm lesson cũ/tài liệu khóa,Công cụ AI,Có nhưng phải tìm thêm,Trên 20 phút,Học tiếp sau khi tra cứu,Phân biệt cần biết trước/biết thì hữu ích/sẽ được dạy,Thường không tìm,maybe,,not_collected,https://docs.google.com/forms/d/1uGjLc-j0WnvmgyZBsI2sv1zNqw1qnjkwrERizRrYTLg/edit#responses
R22,yes,yes,Lesson 6,Ôn lesson trước,Kiến thức nào cần biết trước|Phần nào cần chú ý,Có 2–3 lần,Quy trình/phương pháp,Không nhớ,Tìm lesson cũ/tài liệu khóa,Google/YouTube,Chỉ hiểu một phần,Không nhớ,Học tiếp sau khi tra cứu,Phân biệt cần biết trước/biết thì hữu ích/sẽ được dạy,Không biết nằm ở lesson nào,yes,,not_collected,https://docs.google.com/forms/d/1uGjLc-j0WnvmgyZBsI2sv1zNqw1qnjkwrERizRrYTLg/edit#responses
R23,yes,yes,Lesson 4,Đọc tên/mô tả,Nếu thiếu kiến thức thì xem lại ở đâu,Không có,Toán/thống kê,Khoảng giữa,Tìm lesson cũ/tài liệu khóa,Lesson trước,Tôi không tìm,Trên 20 phút,Học tiếp nhưng phần sau khó hiểu hơn,Phân biệt cần biết trước/biết thì hữu ích/sẽ được dạy,Không biết concept cần học trước hay sẽ được dạy,yes,,not_collected,https://docs.google.com/forms/d/1uGjLc-j0WnvmgyZBsI2sv1zNqw1qnjkwrERizRrYTLg/edit#responses
R24,yes,yes,Lesson 1,Học ngay|không chuẩn bị,Kiến thức nào cần biết trước,Có 1 lần,Nội dung chuyên môn khác,Đầu lesson,Tìm slide/transcript,Công cụ AI,Có nhưng phải tìm thêm,Trên 20 phút,Chưa quay lại hoặc bỏ dở,Kiến thức thực sự cần biết trước,Biết lesson nhưng không biết timestamp/slide,maybe,,not_collected,https://docs.google.com/forms/d/1uGjLc-j0WnvmgyZBsI2sv1zNqw1qnjkwrERizRrYTLg/edit#responses
R25,yes,yes,Lesson 4,Đọc tên/mô tả,Kiến thức nào cần biết trước,Không có,Quy trình/phương pháp,Khoảng giữa,Tìm lesson cũ/tài liệu khóa,Không tìm,Có nhưng phải tìm thêm,Trên 20 phút,Gần như không ảnh hưởng,Kiến thức thực sự cần biết trước,Thường tìm được ngay,no,,not_collected,https://docs.google.com/forms/d/1uGjLc-j0WnvmgyZBsI2sv1zNqw1qnjkwrERizRrYTLg/edit#responses
